;id;id_original;data_set_original;data_set;ano;data;region;soil.classes;textura;local;SRC;EPGS;X;id_original.1;coord_x;coord_y;geology;landuse_field;clay;silt;sand;top;bottom;DC;WCc;WCt;twi;lulc_mapbiomas;bio12c2;bio15c2;bio1c2;bio3c2;bio7c2;rKao;rGoe;rHem;Organics_1;Organics_2;Organics_3;Organics_4;Organics_5;Organics_6;Organics_7;Organics_8;Organics_9;Organics_10;Organics_11;Organics_12;Organics_13;Organics_14;Organics_15;Organics_16;Organics_17;Organics_18;Organics_19;Organics_20;Organics_21;Organics_22;Organics_23;Organics_24;Water_25;Water_26;Water_27;Water_28;Water_29;Hydroxyl_30;Hydroxyl_31;Hydroxyl_32
128;235;128;BD1;BD1;2013;16/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;128;-54.401487;-28.029046;AV;AA;49;45;6;0;5;3.02;2.78;2.69;9.568771362;Farming;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.050566051;0.231206629;0.315045948;0.006351417;0.016557908;0.007575164;0.026086929;0.013379722;0.03371614;0.003226793;0.006589265;0.02019339;0.024004475;0.00830451;0.008899662;0.019775967;0.027002665;0.003080801;0.032809215;0.003796248;0.019587024;0.006589265;1.66926196;0.470184799;0.014536918;0.003252469;0.083704244;0.140594664;0.002707891;0.007979851;0.017183649;0.03491367;0.005784198;0.022740495;0.006813249
129;236;129;BD1;BD1;2013;16/09/2013;R1;LV;muito argilosa;girua;wgs84;EPSG:4326;NA;129;-54.401379;-28.030351;AV;AA;61;32;7;0;5;3.41;2.61;3;9.544070244;Farming;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.047083715;0.273339122;0.359010287;0.002257413;0.001405026;0.003600875;0.010550416;0.004940254;0.090350654;0.001827123;0.004763996;0.006571184;0.009309921;0.00542427;0.009242238;0.011716102;0.05516909;0.004085911;0.010153379;0.001933009;0.029896965;0.004763996;1.374732078;0.248504324;0.010282734;0.002963358;0.105044963;0.12147335;0.004214925;0.027536581;0.007203347;0.016806526;0.001201242;0.020187215;0.002997215
130;238;130;BD1;BD1;2013;16/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;130;-54.401328;-28.031616;AV;AA;48;35;17;0;5;2.27;2.2;2.14;9.548480988;Farming;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.078876878;0.597593234;0.775556907;0.005412801;0.008875641;0.005521449;0.011406184;0.002189597;0.03218467;0.001006918;0.004870457;0.010485413;0.004575525;0.005915366;0.00885183;0.018958889;0.038229509;0.003594106;0.00781362;0.003899027;0.018210022;0.004870457;1.912963369;0.502419948;0.008828594;0.014600215;0.109224812;0.125996199;0.004815965;0.011532445;0.004530852;0.030009007;0.004549961;0.014652897;0.001930201
131;239;131;BD1;BD1;2013;16/09/2013;R1;LV;muito argilosa;girua;wgs84;EPSG:4326;NA;131;-54.400396;-28.031293;AV;FS;66;27;7;0;5;3.04;2.61;2.79;9.61436367;Forest;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.040012384;0.313808606;0.414485201;0.00891084;0.005909772;0.005464264;0.004937655;0.004755935;0.103740918;0.002119139;0.007669823;0.011041695;0.003582;0.007051205;0.013703276;0.018626721;0.026575402;0.003621127;0.010885846;0.004475782;0.024334421;0.007669823;1.220749217;0.272922811;0.019655812;0.008414681;0.088269052;0.104030135;0.003663992;0.016102547;0.002973274;0.012093456;0.002471542;0.00829722;0.004245363
132;240;132;BD1;BD1;2013;16/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;132;-54.401744;-28.032338;AV;FS;54;33;13;0;5;1.63;1.57;1.38;9.56021595;Forest;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.106512147;0.841519196;1.046911115;0.006029899;0.010127508;0.007399453;0.008196365;0.005955566;0.113474723;0.002211647;0.006420109;0.00864104;0.015592582;0.011594816;0.009869113;0.016602124;0.058614071;0.003253532;0.022017027;0.00518854;0.026415834;0.006420109;1.806566369;0.272563436;0.007560816;0.007313757;0.139527725;0.147328449;0.002365463;0.018105319;0.014995395;0.027496825;0.00358951;0.012374456;0.004966823
133;241;133;BD1;BD1;2013;16/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;133;-54.402782;-28.030964;AV;AA;49;37;14;0;5;1.93;1.51;1.6;9.472880363;Farming;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.064393627;0.628749328;0.754810346;0.008610275;0.004184382;0.003738221;0.016625249;0.004988373;0.13460037;0.001443711;0.005488616;0.012681187;0.009151873;0.006645851;0.008521475;0.009966418;0.019997961;0.002671968;0.011948874;0.002504431;0.024944891;0.005488616;2.284242549;0.416389516;0.008542354;0.005439181;0.061901579;0.094069092;0.0029496;0.010682305;0.007245516;0.035265094;0.004654411;0.012065449;0.002350685
134;242;134;BD1;BD1;2013;17/09/2013;R1;GX;muito argilosa;girua;wgs84;EPSG:4326;NA;134;-54.40407;-28.031507;AV;FS;66;24;10;0;5;3.74;3.31;3.31;9.458934784;Forest;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.04767204;0.357552508;0.427847172;0.004524709;0.004357653;0.00318427;0.017995785;0.006691256;0.076782236;0.002293662;0.00598692;0.017376664;0.009195156;0.004098856;0.008533881;0.013670971;0.073646199;0.00649468;0.007684125;0.003762122;0.036902061;0.00598692;1.336132135;0.349716437;0.00859406;0.005085274;0.066088826;0.180946556;0.003584678;0.004059105;0.005594416;0.028220697;0.001640645;0.01795292;0.004933271
135;243;135;BD1;BD1;2013;17/09/2013;R1;LV;muito argilosa;girua;wgs84;EPSG:4326;NA;135;-54.40217;-28.029862;AV;AA;72;20;8;0;5;6.22;2.96;5.58;9.483977318;Farming;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.054133201;0.637017156;0.724074054;0.004062799;0.006484578;0.003717018;0.019209289;0.003062338;0.107215181;0.003033426;0.008892173;0.014255235;0.006329186;0.002460177;0.008187571;0.014262304;0.053776226;0.004283806;0.013034997;0.003345643;0.031646879;0.008892173;1.508559552;0.875518553;0.01797959;0.00954285;0.109247111;0.17458282;0.004851153;0.008069629;0.007863815;0.023705901;0.00454362;0.016065661;0.002535152
136;244;136;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;136;-54.403107;-28.028878;AV;AA;57;32;11;0;5;1.87;1.68;1.62;9.420958519;Farming;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.06729478;0.56942246;0.705063502;0.007758048;0.006112575;0.00297757;0.020828733;0.006655601;0.085943346;0.002486117;0.007104365;0.011165944;0.01424509;0.00793019;0.009383549;0.013115253;0.029245612;0.005289022;0.011637679;0.005129746;0.027758177;0.007104365;1.56847569;0.38948037;0.006155276;0.010266323;0.15444077;0.061459509;0.006040695;0.016391722;0.014690335;0.014417134;0.002462603;0.01579837;0.003154288
137;245;137;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;137;-54.403919;-28.029101;AV;FS;57;25;18;0;5;5.3;4.7;4.75;9.351904869;Forest;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.011563425;0.423800372;0.39375876;0.004369206;0.004915;0.004465473;0.021214052;0.00407083;0.257640112;0.002309345;0.007098335;0.007974216;0.004072038;0.004350575;0.005638509;0.010258313;0.114578911;0.006719208;0.012091767;0.001823991;0.027072435;0.007098335;1.089769244;1.193316969;0.015601341;0.00549259;0.082251288;0.229188018;0.006200412;0.001176263;0.004126789;0.009113154;0.00167496;0.013329706;0.003857876
138;246;138;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;138;-54.402073;-28.028432;AV;AA;54;34;12;0;5;2.29;1.97;1.96;9.496321678;Farming;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.067674588;0.388333317;0.530058732;0.006921612;0.010059641;0.004475213;0.016098604;0.00504237;0.071762653;0.004042487;0.005213211;0.012707853;0.006833827;0.009286862;0.010626522;0.020611398;0.0334213;0.003322024;0.010034547;0.006110936;0.032994452;0.005213211;1.389230348;0.359506487;0.012821719;0.01380176;0.110045885;0.094852849;0.005058076;0.014155445;0.007582959;0.019391651;0.001537877;0.018383996;0.005268692
139;247;139;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;139;-54.405346;-28.027337;AV;AA;50;38;12;0;5;1.92;1.68;1.53;9.306933403;Farming;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.064174774;0.481574271;0.674744411;0.005062274;0.006494171;0.005857508;0.005885996;0.00530691;0.07266572;0.001687712;0.007040673;0.008583614;0.009264528;0.008776501;0.010245364;0.016300287;0.018044467;0.003227323;0.004121283;0.004531545;0.01736282;0.007040673;1.445473961;0.303219446;0.010233457;0.004724527;0.095298862;0.095157217;0.002496025;0.013920316;0.006383791;0.01335971;0.002831921;0.013487907;0.00190477
140;248;140;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;140;-54.407245;-28.024963;AV;FS;50;34;16;0;5;4.27;2.73;3.68;9.374933243;Forest;1842;9.55053997;19.40833282;53.60982895;21.70000076;0.06620761;0.441848104;0.5680732;0.00328159;0.012232584;0.008199567;0.020227192;0.006024275;0.061309269;0.001398024;0.007741532;0.004651536;0.007886617;0.004170481;0.011109655;0.016672789;0.049101618;0.003553478;0.010913286;0.004034045;0.04681978;0.007741532;1.716521237;0.299906548;0.009938902;0.005978434;0.044907204;0.132896224;0.006333126;0.010596802;0.006575701;0.028332473;0.002166625;0.018374084;0.004845572
141;250;141;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;141;-54.406365;-28.029544;AV;HE;49;40;11;0;5;2.42;2.32;1.95;9.283677101;Grassland;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.051062186;0.431003782;0.561579907;0.008062705;0.013428874;0.004531436;0.017186941;0.004161402;0.133577159;0.002041811;0.004291745;0.008966638;0.011396394;0.008121243;0.010850321;0.012624699;0.03666525;0.006583206;0.004063013;0.007048235;0.032718465;0.004291745;1.786180526;0.533448832;0.020666773;0.007997507;0.072345269;0.131065015;0.005858423;0.008650068;0.011512187;0.012068326;0.002949304;0.021556215;0.003697149
142;251;142;BD1;BD1;2013;17/09/2013;R1;LV;muito argilosa;girua;wgs84;EPSG:4326;NA;142;-54.406264;-28.030475;AV;FS;69;24;7;0;5;2.38;1.91;2.5;9.338647842;Forest;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.036860623;0.295738194;0.397496287;0.007499394;0.013425116;0.005526571;0.011736962;0.005844497;0.056314207;0.00188908;0.007650789;0.004787814;0.011186534;0.007613074;0.009543434;0.017017045;0.014725792;0.003208708;0.007082582;0.006209744;0.028606466;0.007650789;1.249762584;0.273774595;0.010448914;0.01597698;0.105253683;0.084790172;0.003264516;0.021635317;0.010056445;0.012141233;0.002476393;0.016519765;0.003755399
143;252;143;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;143;-54.406922;-28.03029;AV;AA;57;29;14;0;5;3.61;4.18;3.23;9.338647842;Farming;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.026433588;0.296628918;0.295101072;0.005844543;0.005373399;0.003509663;0.004636703;0.003349529;0.122290343;0.001140203;0.00610758;0.006314611;0.006050082;0.002842064;0.005170978;0.009848207;0.076642727;0.002419652;0.005588853;0.006737185;0.028506779;0.00610758;1.075028142;0.240352019;0.010159916;0.005296078;0.08345651;0.155839305;0.003461992;0.00769533;0.005912377;0.017767084;0.00349198;0.017396518;0.005551646
144;254;144;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;144;-54.406313;-28.032014;AV;AA;53;38;9;0;5;3.43;3.07;3.14;9.509794235;Farming;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.041042247;0.409402421;0.51284514;0.005485337;0.016038156;0.005992841;0.014862545;0.002001248;0.047682743;0.001891447;0.007422706;0.006562845;0.005209161;0.006248882;0.012952977;0.010974958;0.052225263;0.005556092;0.006741583;0.0028427;0.035605503;0.007422706;1.678667618;0.195983197;0.020302913;0.004465845;0.064689078;0.106136791;0.00528437;0.023022107;0.004787996;0.017328718;0.002738677;0.023528231;0.004866643
145;255;145;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;145;-54.404764;-28.032768;AV;AA;55;37;8;0;5;4.03;3.22;4.05;9.583892822;Forest;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.033001898;0.265954956;0.339050584;0.00428018;0.006242927;0.00746727;0.007532249;0.007558807;0.042698763;0.002472698;0.010055941;0.005739798;0.005885741;0.005442246;0.008349647;0.010491709;0.058681584;0.007816246;0.006876717;0.00404196;0.032683591;0.010055941;1.3369662;0.455176989;0.013167343;0.004702242;0.176652248;0.08869543;0.009263838;0.003834978;0.006011524;0.01205194;0.003228349;0.016137651;0.003879468
146;256;146;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;146;-54.405406;-28.032144;AV;FS;60;29;11;0;5;2.54;2.11;2.24;9.530877113;Forest;1839;9.588459969;19.43333244;53.44036865;21.79999924;0.06618184;0.750268556;0.914508124;0.005210967;0.004439507;0.006236251;0.016733846;0.003299349;0.086100395;0.003726555;0.005972625;0.011642169;0.007836643;0.00701856;0.0115447;0.026953956;0.06929124;0.00722533;0.008752363;0.005885432;0.033041407;0.005972625;2.46176649;1.030804199;0.008602942;0.006733266;0.135511327;0.116396481;0.006859385;0.008078014;0.007756364;0.016419878;0.001281921;0.020691568;0.004905365
147;257;147;BD1;BD1;2013;17/09/2013;R1;LV;muito argilosa;girua;wgs84;EPSG:4326;NA;147;-54.40773;-28.033581;AV;AA;61;30;9;0;5;3.58;2.67;3.05;9.585455894;Farming;1834;9.565192223;19.51250076;53.40214157;21.79999924;0.031315448;0.131774204;0.192764604;0.005867434;0.015131828;0.008053314;0.020921006;0.004615869;0.046019031;0.004722122;0.011946296;0.011327423;0.010454865;0.007680064;0.013374659;0.010541093;0.081664246;0.005762718;0.015010608;0.005738212;0.031411025;0.011946296;2.118858613;0.613560104;0.003382626;0.006701115;0.130241475;0.129564406;0.008323478;0.007231847;0.010748614;0.026883331;0.002165214;0.031201122;0.006088636
148;259;148;BD1;BD1;2013;17/09/2013;R1;GX;argilosa;girua;wgs84;EPSG:4326;NA;148;-54.409237;-28.033371;AV;AA;35;53;12;0;5;3.8;2.67;2.88;9.546440125;Farming;1832;9.613685608;19.53333282;53.36391449;21.79999924;0.017557388;0.154188928;0.095715288;0.003293508;0.009245672;0.005792633;0.012834052;0.002584009;0.081597408;0.002983886;0.008950353;0.007415646;0.00432621;0.005894421;0.007407578;0.010344542;0.030941524;0.003684491;0.011312018;0.005071621;0.051634375;0.008950353;1.279555576;0.886718227;0.0189107;0.007952436;0.029871729;0.113823211;0.004941926;0.004377713;0.004281683;0.031253185;0.002071865;0.025999985;0.003325452
149;260;149;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;149;-54.409872;-28.035019;AV;AA;56;35;9;0;5;3.78;3.6;3.5;9.637576103;Farming;1832;9.613685608;19.53333282;53.36391449;21.79999924;0.034594511;0.346809311;0.3699101;0.014113432;0.010639527;0.006367024;0.022608645;0.011931406;0.128626882;0.002696851;0.00822359;0.010621564;0.008110276;0.007216743;0.009608993;0.020563235;0.105979098;0.004081584;0.01672083;0.006350691;0.049464194;0.00822359;1.881246209;1.215216995;0.014982547;0.01374176;0.138667028;0.151032997;0.0075513;0.00925285;0.008242676;0.021539554;0.001595314;0.011239913;0.005276129
150;261;150;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;150;-54.410966;-28.033975;AV;AA;50;37;13;0;5;2.88;2.49;2.63;9.62326622;Farming;1832;9.613685608;19.53333282;53.36391449;21.79999924;0.041082252;0.221890154;0.307881381;0.004087045;0.008747462;0.006995948;0.023646107;0.003929805;0.036514212;0.003829078;0.008667756;0.014603402;0.005566856;0.007586066;0.01796714;0.01316812;0.056517836;0.003618783;0.016423942;0.005416752;0.066774801;0.008667756;2.094538603;0.452356965;0.012173482;0.006484603;0.117680736;0.124470572;0.00593189;0.007831447;0.005275252;0.021132076;0.001723186;0.009888726;0.004774088
151;262;151;BD1;BD1;2013;17/09/2013;R1;LV;muito argilosa;girua;wgs84;EPSG:4326;NA;151;-54.411537;-28.035505;AV;AA;62;28;10;0;5;3.63;2.09;3.44;9.668557167;Farming;1832;9.613685608;19.53333282;53.36391449;21.79999924;0.028750251;0.178200742;0.23734095;0.002889768;0.006271369;0.004805584;0.007867726;0.003860027;0.055907614;0.002941553;0.006476169;0.008499816;0.009329962;0.008336275;0.009953719;0.017806985;0.052184948;0.004269339;0.00993103;0.002636708;0.027745843;0.006476169;1.112532143;0.609358324;0.012354904;0.004752403;0.094013554;0.104927609;0.003266013;0.005904838;0.008512431;0.011809121;0.003010581;0.013931793;0.002197835
152;263;152;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;152;-54.41151;-28.03282;AV;AA;55;32;13;0;5;3.31;2.84;2.87;9.594970703;Farming;1839;9.620285988;19.44166756;53.44036865;21.79999924;0.039048027;0.158721668;0.222918454;0.001941207;0.007784773;0.006600586;0.018638268;0.009209514;0.059023119;0.004121534;0.008241067;0.017345595;0.014362213;0.009502771;0.012393475;0.022760217;0.063325984;0.005476252;0.009629647;0.00600526;0.035187111;0.008241067;2.030417361;0.609020181;0.026141197;0.011675513;0.056897932;0.100638559;0.008749922;0.011109926;0.014313964;0.030709256;0.00261292;0.019354589;0.006771721
153;265;153;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;153;-54.41023;-28.032473;AV;AA;60;30;10;0;5;3.67;2.78;3.32;9.540082932;Farming;1839;9.620285988;19.44166756;53.44036865;21.79999924;0.035815662;0.228542284;0.303948218;0.006421489;0.010958745;0.006259829;0.027337097;0.005680405;0.079930815;0.005675247;0.007832746;0.007776284;0.010981135;0.008968322;0.01886456;0.01097119;0.045581324;0.004519283;0.01584462;0.002429362;0.024636729;0.007832746;2.336438272;0.318463871;0.018141888;0.006521036;0.128794118;0.100329733;0.004645521;0.014833256;0.008181808;0.014692974;0.002630824;0.017555209;0.009277782
154;266;154;BD1;BD1;2013;17/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;154;-54.408567;-28.031947;AV;AA;52;35;13;0;5;2.84;2.26;2.49;9.482797623;Farming;1839;9.620285988;19.44166756;53.44036865;21.79999924;0.044657856;0.338867943;0.431874161;0.011107102;0.009171159;0.010238542;0.0165469;0.011715652;0.076084149;0.006961167;0.016938792;0.019197503;0.009110717;0.009768858;0.015399608;0.021253618;0.035176542;0.006915741;0.02619638;0.008572048;0.049002652;0.016938792;2.924067668;0.562517869;0.009890386;0.017505343;0.120642716;0.1123837;0.007610477;0.01566701;0.008771625;0.020566255;0.003991998;0.021689423;0.007997352
